PLAYER|EASY|22|9891|MANUAL|1666|2026-03-20T08:39:40.1607772
ducki|EASY|17|8579|MANUAL|1679|2026-03-20T09:06:30.1289713
BFS|EASY|45|9690|BFS|1152|2026-03-20T15:34:16.7359589
BFS|EASY|25|41357|MANUAL|1786|2026-03-20T15:36:48.4006618
BFS|EASY|33|27833|MANUAL|112|2026-03-20T15:40:08.4852262
BFS|EASY|49|10576|BFS|1121|2026-03-20T16:30:35.8228267
DFS|EASY|30|6389|DFS|1270|2026-03-20T16:32:06.0971733
A*|EASY|52|11236|A*|1097|2026-03-20T16:33:42.881709
BFS|EASY|24|5090|BFS|1318|2026-03-21T00:28:58.5846516
BFS|EASY|32|6850|BFS|1255|2026-03-21T00:33:09.6149036
BFS|EASY|47|10137|BFS|1137|2026-03-21T00:46:52.8727419
BFS|EASY|36|7723|BFS|1224|2026-03-22T17:26:01.775049
duc|EASY|28|17403|MANUAL|1712|2026-03-23T09:46:31.2590354
BFS|EASY|48|4715|BFS|1073|2026-03-23T09:47:33.8417866
A*|EASY|56|5506|A*|1000|2026-03-23T09:47:53.6653446
.|EASY|39|51932|MANUAL|2061|2026-03-23T10:00:55.0099539
A*|EASY|16|1513|A*|1364|2026-03-23T10:01:02.3901665
A*|HARD|59|5817|A*|973|2026-03-23T10:01:16.197246
DFS|EASY|20|2060|DFS|1328|2026-03-23T10:19:42.8138684
DFS|MEDIUM|72|7215|DFS|855|2026-03-23T10:58:37.3864067
DFS|MEDIUM|38|3882|DFS|1165|2026-03-23T14:52:22.6615979
A*|MEDIUM|48|10395|A*|1129|2026-03-23T15:13:04.2803819
A*|EASY|54|29115|MANUAL|1576|2026-03-23T15:13:45.9950123
BFS|MEDIUM|53|11561|BFS|1090|2026-03-23T15:30:28.3076356
'|EASY|49|23473|MANUAL|1665|2026-03-23T15:45:41.9072431
'|EASY|61|38504|MANUAL|1814|2026-03-23T15:47:23.5252788
'|EASY|42|20777|MANUAL|1553|2026-03-23T15:54:22.8605564
BFS|HARD|99|21687|BFS|727|2026-03-23T16:16:23.4920794
DFS|EASY|20|4313|DFS|1351|2026-03-23T16:35:54.7463905
DFS|EASY|38|15062|MANUAL|87|2026-03-23T17:14:25.0258081
DFS|EASY|36|7745|DFS|1224|2026-03-24T21:08:33.9252659
BFS|EASY|19|4000|BFS|1359|2026-03-24T21:53:46.2060302
BFS|EASY|22|4666|BFS|1334|2026-03-24T22:18:22.313471
;|EASY|50|55394|MANUAL|305|2026-03-24T22:48:43.5184975
'|EASY|146|91828|MANUAL|2446|2026-03-24T23:46:03.2778491
BFS|EASY|46|10023|BFS|1146|2026-03-25T13:31:36.4852111
BFS|EASY|23|18207|MANUAL|1791|2026-03-25T13:32:09.9031808
;|EASY|20|7030|MANUAL|1568|2026-03-26T10:39:02.5645957
;|EASY|20|24461|MANUAL|1622|2026-03-26T10:53:49.7052307
hhh|MEDIUM|160|210438|MANUAL|3444|2026-03-26T11:05:31.22746
A*|MEDIUM|56|12139|A*|1066|2026-03-26T11:06:21.7204672
A*|HARD|130|28535|A*|772|2026-03-26T11:12:11.7595403
A*|MEDIUM|61|13299|A*|1026|2026-03-26T11:21:51.7374316
BFS|MEDIUM|63|13671|BFS|1010|2026-03-26T11:22:20.5053254
BFS|MEDIUM|89|116505|MANUAL|3005|2026-03-26T11:24:23.7047306
